小区地址,所属区域,邮    编,环线位置,产权描述,物业类别,建筑年代,开 发 商,建筑结构,建筑类型,建筑面积,占地面积,房屋总数,楼栋总数,物业公司,绿 化 率,容 积 率,物业办公电话,物 业 费,附加信息,物业办公地点,本段合作编辑者
洪山区东湖新技术开发区马湖路2号,洪山区 新南湖,430072,二至中环,70年,住宅,2015年建成,保利（武汉）房地产开发有限公司,钢混框架结构,板楼,塔楼,板塔结合,1300000平方米,418885平方米,12316户,87栋,保利(武汉)物业管理公司,36%,1.50,87759036,1.80元/平米·月,高层物业1.8,小高层1.5,3期22栋,黄建挺 赵新亮 刘涛
洪山区雄楚大道450号（名都花园旁）,洪山区 卓刀泉,430072,二至三环,城投瀚城普通住宅产权为70年,住宅,2014年建成,武汉城投房地产开发有限公司,板楼,板塔结合,490000平方米,333500平方米,3126户,45栋,武汉名星物业管理有限责任公司,35%,1.11,2.40元/㎡·月,普通住宅
洪山区东湖新技术开发区卓刀泉路299号,洪山区 卓刀泉,430074,二至中环,70年,住宅,2012年建成,湖北保利投资有限公司,钢筋混凝土,板楼,塔楼,板塔结合,560000平方米,200100平方米,5142户,35栋,湖北保利物业管理有限公司,35%,2.93,027-87585688,1.80元/平米·月,东湖新技术开发区卓刀泉路299号花香假日...,董才红 陈柱
洪山区白沙洲大道与烽胜路交汇处（张家...,洪山区 白沙洲,430000,二至中环,复地悦城 普通住宅产权为70年,住宅,2015年建成,湖北光霞房地产开发有限公司,板楼,472739平方米,137171平方米,2804户,14栋,武汉东湖高地物业管理有限公司,35.50%,3.45,2.30元/㎡·月,物业管理费2.3元/平方米·月
洪山区黄家湖大学城（武汉科技大学旁）,洪山区 白沙洲,430070,中环以外,该项目普通住宅产权为70年，公寓产权40...,住宅,2014年建成,湖北福星惠誉学府置业有限公司,板楼,塔楼,465296平方米,232648平方米,5220户,30栋,武汉市福星惠誉物业管理有限公司,30%,2.00,027-86784376,1.80元/平米·月,联排,60栋旁边，单独的办公楼
洪山区狮子山街苫风咀8号,洪山区 珞狮南路,430064,二至中环,70年,住宅,2013年建成,武汉市深业泰然房地产开发有限公司,框剪、钢混,板楼,塔楼,642000平方米,283000平方米,1214户,31栋,深圳市泰然物业管理服务有限公司武汉分公司,35%,1.70,027-81880198,1.50元/平米·月,17栋1楼
洪山区洪山区雄楚大街450号,洪山区 卓刀泉,430070,中环以外,70年,住宅,2006年建成,武汉市城市建设投资开发总公司,钢筋混凝土,板塔结合,72118平方米,6577平方米,1942户,44栋,武汉名星物业管理有限公司,50%,1.05,027-50730110,1.50元/平米·月,1.50-2.0元/平米·月,小区内网球场旁边,汪良
洪山区白沙洲新城烽胜路36号（工商学院...,洪山区 白沙洲,430000,二至三环,佳兆业金域天下项目普通住宅产权为70年...,住宅,2016年建成,佳兆业地产（武汉）有限公司,板楼,500000平方米,192300平方米,1632户,6栋,佳兆业物业管理（深圳）有限公司,35%,2.80,2.00元/平米·月,物业管理费2元/平方米·月
洪山区雄楚大街452号（南湖北路）,洪山区 卓刀泉,430064,二至中环,住宅产权70年,住宅,2013年建成,武汉市祥浩房地开发有限公司,板楼,36608平方米,23477平方米,2853户,19栋,湖北保利物业管理有限公司,37%,1.56,027-87806155,2.70元/平米·月,普通住宅、洋房,5栋1楼
洪山区雄楚大街(南湖北岸),洪山区 卓刀泉,430064,内至二环,该项目产权为70年,住宅,2013年建成,武汉林海房地产开发有限公司,钢筋混凝土,板楼,294510平方米,93200平方米,2624户,11栋,武汉保利物业管理有限公司,35.50%,2.80,87639110,2.00元/平米·月,高层2元/平方米.月，别墅2.9元/平方米....,保利拉菲11栋一楼
洪山区洪山区雄楚大街489号,洪山区 卓刀泉,430070,内至二环,70年,住宅,2010年建成,湖北万兴房地产开发有限公司,钢筋混凝土,塔楼,192000平方米,48186平方米,1822户,8栋,武汉市同和物业公司,42%,3.90,027-87809999,1.40元/平米·月,1.4-1.8元/平米·月,6栋一楼,汪良 丁文凯
洪山区青菱南路与黄家湖大道交汇处（黄...,洪山区 白沙洲,430070,中环以外,东原湖光里普通住宅产权为70年,住宅,2018年建成,武汉东原地产,板楼,269771平方米,85357平方米,2873户,19栋,重庆新东原物业管理有限公司武汉分公司,35%,2.69,2.60元/㎡·月,普通住宅
洪山区街道口南文化大道332号（虹桥家园...,洪山区 新南湖,430070,三至四环,世茂林屿岸普通住宅产权为70年,花园洋房...,住宅,2016年建成,世茂集团,板楼,427504平方米,153927平方米,3228户,13栋,世茂物业管理公司,35%,2.27,2.00元/平方米·月,住宅
洪山区雄楚大道746号,洪山区 卓刀泉,430070,二至中环,70年,住宅,2002年建成,城乡建设部,钢筋混凝土,板塔结合,5000平方米,2500平方米,3486户,67栋,武汉市居安物业管理有限公司,25%,2.50,027-87446391,0.50元/平米·月,0.25-0.5元/平米·月,康居园C,秦文涛 刘俊莹 马雄
洪山区狮子山街苫风咀8号,洪山区 珞狮南路,430064,二至中环,70年,住宅,2010年建成,武汉市深业泰然房地产开发有限公司,钢混,板楼,塔楼,530000平方米,43829平方米,1068户,13栋,深圳市泰然物业管理服务有限公司武汉分公司,35%,4.92,87229683,1.50元/平米·月,二期7栋1楼
洪山区珞狮路与雄楚大道交汇处（丽岛花...,洪山区 街道口,430070,中建南湖壹号普通住宅产权为70年,大平层...,住宅,2016年建成,武汉市鼎顺祥城房地产开发有限公司,框剪结构,板楼,300000平方米,74000平方米,2699户,14栋,中建三局物业公司,35%,4.02,027-59731888 027-59835098,2.80元/平米·月,物业管理费2.8元/平方米·月,武昌区武珞路456号新时代商务中心东裙楼...
洪山区张家湾街烽胜路55号,洪山区 白沙洲,430065,二至中环,70年,住宅,2015年建成,武汉清能普提金置业有限公司,钢混,塔楼,235878平方米,50238平方米,1945户,10栋,湖北清能佳苑物业服务有限公司,35%,3.95,1.80元/平米·月
洪山区青菱立交桥下青菱渔场内,洪山区 白沙洲,430065,二至中环,70年产权,住宅,2010年建成,市政建设,钢筋混凝土,塔楼,308600平方米,170000平方米,1163户,27栋,小区自主物业,30%,1.82,0.60元/平米·月,0.6元/平米·月
洪山区洪山区雄楚大道438号（雄楚大道卓...,洪山区 卓刀泉,430070,二至中环,2002/12/6至2071/12/6,住宅,2005年建成,武汉市洪华房地产开发有限公司,钢筋混凝土,塔楼,160395平方米,56695平方米,1749户,18栋,香港江源屋宇管理武汉公司,39.02%,2.67,027-50655555,1.20元/平米·月,1-1.3元/平米·月,一期门入口右手边1楼,汪良 刘友涛 邬洲 蔡纷
洪山区八一路340号（武汉大学对面）,洪山区 街道口,430000,内至二环,东湖楚天府普通住宅产权为70年,住宅,2016年建成,湖北强涛置业有限公司,塔楼,板塔结合,181054平方米,34165平方米,1978户,9栋,世邦魏理仕顾问,41%,4.00,2.30元/平米·月,高层物业管理费2.3元/平方米·月 公寓...
洪山区珞狮路449号,洪山区 街道口,430070,二至中环,70年,住宅,2002年建成,武汉洪发物业发展有限公司,钢筋混凝土.,塔楼,120000平方米,51595平方米,1111户,11栋,武汉洪伟物业管理有限公司,45%,2.32,027-87388088、87387277,1.00元/平米·月,翟斌
洪山区南湖滨珞狮南路519号,洪山区 珞狮南路,430070,二至中环,70年,住宅,2005年建成,湖北创业人家置业发展有限公司,钢筋混凝土,塔楼,150000平方米,40000平方米,1282户,9栋,湖北创业人家物业公司,33%,3.50,027-85807657,1.30元/平米·月,1.5元/平米·月,7栋,张良广
洪山区雄楚大街456号,洪山区 卓刀泉,430056,二至中环,70年.,住宅,2005年建成,湖北新鑫鼎物业发展有限公司,钢筋混凝土.,塔楼,151000平方米,57618平方米,1612户,14栋,武汉丽岛物业管理有限公司,35.92%,2.80,87772169,1.20元/平米·月,1.0-1.2元/平米·月,2栋1单元一楼,汪航 邬洲 刘友涛 汪良
洪山区黄家湖大学城湖北中医药大学斜对...,洪山区 白沙洲,430070,中环以外,住宅70年产权,住宅,2015年建成,武汉市融汇置地房地产开发有限公司,板楼,202600平方米,112859平方米,452户,12栋,丽岛物业有限公司,40%,1.70,2.20元/平方米·月,洋房物业费2.2元/平方米·月 高层物业...
洪山区白沙洲大道白沙四路前行400米（青...,洪山区 白沙洲,430065,二至中环,70年产权,住宅,2015年建成,华润置地（武汉）房地产有限公司,板楼,373348平方米,106980平方米,1257户,7栋,华润置地（武汉）物业管理有限公司,35%,3.02,2.40元/平方米·月,物业管理费2.4元/平方米·月
洪山区珞狮南路320号,洪山区 珞狮南路,430070,二至中环,2009/10/14至2079/10/14,住宅,2011年建成,金地集团武汉房地产开发有限公司,剪力墙结构,板楼,148911平方米,49636平方米,1524户,9栋,武汉金地物业管理有限公司,30%,3.00,027-87674888,2.20元/平米·月,地上停车15/月 地下停车300/月,东门进去右转即到,张文辉
洪山区毛坦村（湖北工业大学对面）,洪山区 白沙洲,430064,二至中环,70年产权,住宅,2011年建成,武汉建工富强置业有限公司,钢筋混凝土,板楼,36389平方米,6816平方米,1882户,29栋,武汉富强园晨物业管理服务有限公司,30%,1.80,1.50元/平米·月,2栋3单元1楼102-103房
洪山区白沙洲大道108号,洪山区 白沙洲,430064,二至中环,70年,住宅,1995年建成,市政建设,钢筋混凝土,塔楼,44057平方米,18668平方米,14户,1栋,张家湾小区物业,32.44%,2.36,0.60元/平米·月
洪山区白沙洲新城烽胜路36号,洪山区 白沙洲,430065,二至中环,70年,住宅,2014年建成,佳兆业物业管理（深圳）有限公司,钢筋混凝土,塔楼,237839平方米,64196平方米,2175户,11栋,佳兆业物业管理（深圳）有限公司武汉金域天下分公司,35%,3.07,2.20元/平米·月
洪山区白沙洲大道108号,洪山区 白沙洲,430000,二至中环,70年产权,住宅,1995年建成,钢筋混凝土,板楼,44057平方米,18668平方米,1024户,11栋,武汉市怡心物业,32.44%,2.36,1.00元/平米·月,1元/平米·月
洪山区白沙三路前行300米（白沙三路以南...,洪山区 白沙洲,430000,二至中环,世茂云锦樱海园普通住宅产权为70年,住宅,2018年建成,武汉世茂天润置业有限公司,板楼,507000平方米,145420平方米,1124户,6栋,世茂天成物业,30%,3.56,2.50元/㎡·月
洪山区白沙洲大道白沙四路前行400米,洪山区 白沙洲,430065,二至中环,70年,住宅,2015年建成,华润置地（武汉）房地产有限公司,钢混,板楼,240243平方米,68397平方米,2003户,13栋,华润置地（武汉）物业管理有限公司,35%,3.03,2.40元/平米·月
洪山区东湖新技术开发区狮子山街王家湾...,洪山区 珞狮南路,430070,二至中环,2004/3/2至2074/3/2,住宅,2006年建成,湖北致远科技集团,钢筋混凝土,塔楼,87474平方米,40670平方米,962户,10栋,武汉丽岛物业管理有限公司,38%,2.19,1.20元/平米·月,小高层1.2元/平米·月，高层1.5/平米·...,从11栋旁边的门进去，右转假山旁边
洪山区新南湖南李路45号,洪山区 新南湖,430079,二至中环,70,住宅,2002年建成,市政建设,钢筋混凝土,塔楼,1329户,74栋,小区自主物业,36%,1.98,0.50元/平米·月,0.5-1元/平米·月
洪山区烽胜路和八坦路交汇往北500米,洪山区 白沙洲,430064,二至中环,70年产权,住宅,1992年建成,市政建设,钢筋混凝土结构。,塔楼,10000平方米,4680平方米,3836户,34栋,武汉市逸城物业管理有限公司,33.60%,2.60
洪山区珞狮路447号,洪山区 街道口,430070,二至中环,70年,住宅,2006年建成,武汉洪发物业发展有限公司,钢筋混凝土,板楼,160000平方米,100000平方米,935户,12栋,36%,1.62,027-87388088,1.20元/平米·月,.7栋,汪航 王睿楠 戚梦楼 翟斌
洪山区卓刀泉南路99号,洪山区 卓刀泉,430070,内环以内,70年,住宅,1997年建成,市政建设,钢筋混凝土,塔楼,3800平方米,2000平方米,1273户,32栋,金昌物业,39%,1.68,027-87290020,0.60元/平米·月,0.6元/平米/月,正门进去右手边
洪山区青菱立交桥下青菱渔场内,洪山区 白沙洲,430065,二至中环,70年,住宅,2011年建成,市政建设,钢筋混凝土,板楼,308600平方米,170000平方米,2475户,34栋,小区自主物业,30%,1.82,15202747133,0.60元/平米·月,住宅,410栋1楼
洪山区张家湾街,洪山区 白沙洲,430065,二至中环,70年,住宅,2013年建成,武汉湘龙华置业有限公司,钢混,板塔结合,393500平方米,12500平方米,576户,6栋,湘龙物业管理有限公司,35%,3.80,1.80元/平米·月,住宅1.8元/平方米*月
洪山区珞狮南路268号,洪山区 珞狮南路,430070,内至二环,住宅70年产权,住宅,2016年建成,中建三局房地产开发有限公司,板楼,板塔结合,223570平方米,52566平方米,1678户,7栋,武汉中建物业管理有限公司,25%,4.25,2.60元/平米·月,住宅物业费2.6元/平方米·月
洪山区珞狮南路507号南湖山庄三期,洪山区 珞狮南路,430070,二至中环,70年,住宅,2007年建成,武汉佳和房地产开发有限公司,钢筋混凝土,板塔结合,200000平方米,213440平方米,952户,21栋,武汉佳诚物业管理有限公司,35.59%,0.96,027-87372378,1.20元/平米·月,多层0.8元/平方米，小高层1.3元/平方米,2栋1单元1楼,张良广 沈瀚
洪山区白沙洲大道106号鑫宇花园,洪山区 白沙洲,430064,二至中环,70年产权,住宅,2010年建成,钢筋混凝土,板楼,924户,9栋,33%,2.60,0.60元/平米·月,0.6元/平米·月
洪山区白沙洲新城青菱南路88号,洪山区 白沙洲,430065,中环以外,此项目产权为70年。,住宅,2015年建成,武汉兆嘉乐业房地产开发有限公司,板楼,1200000平方米,230000平方米,2951户,18栋,武汉乐享生活物业管理有限公司,30%,2.60,1.80元/平方米·月,物业管理费1.8元/平方米·月
洪山区洪山区珞狮南路狮子山街王家湾,洪山区 珞狮南路,430070,二至中环,70年,住宅,2014年建成,湖北国海房地产开发有限公司,钢筋混凝土,板楼,300000平方米,166666平方米,1160户,6栋,武汉市锦城物业管理有限公司,38%,2.40,027-87228666,1.70元/平米·月,4栋1楼,唐海燕
洪山区雄楚大道438号（陈家湾武汉大学旁...,洪山区 卓刀泉,430070,二至中环,70年,住宅,2002年建成,市政建设,钢筋混凝土,塔楼,9400平方米,3983平方米,558户,13栋,街道管理处,32.69%,2.36,0.65元/平米·月,0.65元/平米·月,卓刀泉南路108号保利浅水湾
洪山区张家湾街罗家村（白沙洲大道）,洪山区 白沙洲,430064,二至中环,经适房70年产权,住宅,2012年建成,武汉天地源置业有限公司,钢筋混凝土,板塔结合,147396平方米,71030平方米,1768户,25栋,38%,2.18
洪山区珞狮南路与二环线交汇处,洪山区 珞狮南路,430072,二至中环,该项目产权为70年,住宅,2014年建成,武汉招银物业有限公司,框架、框剪结构,板楼,444000平方米,131120平方米,3712户,15栋,武汉招银物业有限公司,38.60%,3.39,027-85743096,1.00元/平米·月,1.00元/平米·月,保安亭旁边,胡博文
洪山区陈家湾雄楚大街428号,洪山区 卓刀泉,430070,中环以外,70年产权,住宅,2005年建成,洪山区房地产公司,钢筋混凝土,板楼,448户,10栋,顺诚物业公司,35%,2.80,02782741559,0.80元/平米·月,多层0.8元/平米·月，小高层1.2元/平米...
洪山区卓刀泉路108号（华师东门附近）,洪山区 卓刀泉,430070,二至中环,该项目产权为70年,住宅,2012年建成,武汉凯乐宏图房地产开发有限公司,钢混,板楼,210000平方米,60000平方米,1061户,7栋,金田物业管理有限公司,40%,3.50,027-87170088,1.80元/平米·月,凯乐桂园3栋一楼,蒋岑
洪山区洪山区珞狮南路特1号,洪山区 珞狮南路,430070,二至中环,70年,住宅,2002年建成,湖北城市建设发展公司阜华分公司,钢筋混凝土,塔楼,130759平方米,54694平方米,1090户,18栋,武汉合富辉煌物业公司,40%,2.30,87504887,0.80元/平米·月,G栋1单元1楼
洪山区珞狮南路507号,洪山区 珞狮南路,430070,二至中环,50年,住宅,2003年建成,武汉佳和房地产开发有限公司,钢筋混凝土,塔楼,74405平方米,53146平方米,370户,15栋,武汉佳诚物业管理有限公司,33%,1.40,87372378,0.80元/平米·月,08-1.5元/平米·月,2栋
洪山区珞狮路特1号（区政府对面）,洪山区 街道口,430070,70年,住宅,2004年建成,联合置业（武汉）有限公司,钢筋混凝土,塔楼,200000平方米,160000平方米,444户,9栋,武汉丽岛物业管理有限公司,45%,1.25,027-87393030,1.50元/平米·月,1.0元/平米·月,兰园C座楼下
洪山区洪山珞狮南路451号（珞狮南路与雄...,洪山区 街道口,430072,内至二环,该项目产权为70年,住宅,2011年建成,武汉洪发物业发展有限公司,框剪,板楼,86229平方米,24937平方米,685户,6栋,武汉洪伟物业管理有限责任公司,35%,2.90,1.80元/平米·月,1.8元/平米
