建筑年代,有无电梯,户型结构,产权性质,房源编号,挂牌时间,价格,朝向,楼层,区域
2010年,无,平层,商品房,180639157,2018-08-08,700万,南,低层 楼层（共3层）,保利心语
2015年,有,平层,个人产权,随时看房,178453640,2018-06-06,274万,南北,高层 楼层（共18层）,保利心语
2015年,有,个人产权,随时看房,179242568,2018-06-29,265万,南北,高层 楼层（共18层）,保利心语
2015年,无,平层,商品房,随时看房,179384229,2018-07-03,200万,南,低层 楼层（共34层）,保利心语
2014年,无,平层,商品房,随时看房,180632755,2018-08-08,255万,南北,高层 楼层（共33层）,保利心语
2009年,无,商品房,随时看房,180276251,2018-07-29,185万,南北,低层 楼层（共16层）,保利心语
2015年,无,平层,商品房,电话预约,180545166,2018-08-06,290万,南北,低层 楼层（共25层）,保利心语
2009年,有,平层,商品房,随时看房,180338033,2018-08-07,205万,南,中层 楼层（共18层）,保利心语
2013年,无,平层,商品房,随时看房,180604167,2018-08-08,398万,南北,中层 楼层（共28层）,城投瀚城
2014年,有,个人产权,随时看房,179805122,2018-07-17,210万,南北,高层 楼层（共33层）,城投瀚城
2014年,无,平层,个人产权,随时看房,180506524,2018-08-05,500万,南北,中层 楼层（共16层）,城投瀚城
2014年,有,平层,个人产权,随时看房,179852237,2018-07-18,620万,南北,中层 楼层（共8层）,城投瀚城
2013年,无,平层,商品房,随时看房,180604119,2018-08-08,560万,南,中层 楼层（共11层）,城投瀚城
2012年,无,平层,个人产权,随时看房,180612029,2018-08-08,415万,南北,中层 楼层（共32层）,城投瀚城
2015年,有,平层,商品房,随时看房,178145250,2018-06-20,438万,南,低层 楼层（共32层）,城投瀚城
2014年,有,平层,个人产权,随时看房,180600424,2018-08-08,216万,南,高层 楼层（共32层）,城投瀚城
2013年,无,平层,商品房,随时看房,179448557,2018-07-05,360万,南北,低层 楼层（共29层）,保利华都 (距2号线杨家湾站约325米)
2012年,有,平层,商品房,随时看房,180517425,2018-08-05,330万,南北,高层 楼层（共18层）,保利华都 (距2号线杨家湾站约325米)
2012年,有,平层,个人产权,随时看房,180391052,2018-08-02,375万,南北,低层 楼层（共32层）,保利华都 (距2号线杨家湾站约325米)
2012年,无,平层,商品房,随时看房,180365362,2018-08-01,355万,南,中层 楼层（共31层）,保利华都 (距2号线杨家湾站约325米)
2013年,有,平层,商品房,随时看房,180422749,2018-08-03,128万,北,中层 楼层（共29层）,保利华都 (距2号线杨家湾站约325米)
2013年,有,平层,商品房,随时看房,180613569,2018-08-08,220万,南北,中层 楼层（共32层）,保利华都 (距2号线杨家湾站约325米)
2012年,有,平层,个人产权,随时看房,180625038,2018-08-08,295万,南北,低层 楼层（共29层）,保利华都 (距2号线杨家湾站约325米)
2012年,无,平层,个人产权,随时看房,180624797,2018-08-08,128万,南,低层 楼层（共32层）,保利华都 (距2号线杨家湾站约325米)
2017年,无,商品房,电话预约,180044839,2018-07-23,127万,南北,低层 楼层（共34层）,复地悦城
2015年,有,个人产权,随时看房,180632896,2018-08-08,158万,南北,中层 楼层（共29层）,复地悦城
2014年,有,平层,商品房,随时看房,180529706,2018-08-05,173万,南北,低层 楼层（共34层）,复地悦城
2015年,有,平层,个人产权,随时看房,177620935,2018-05-25,120万,南北,高层 楼层（共34层）,复地悦城
2015年,有,平层,个人产权,随时看房,180621198,2018-08-08,135万,南,中层 楼层（共34层）,复地悦城
2014年,无,平层,个人产权,随时看房,180639581,2018-08-08,120万,南,低层 楼层（共34层）,复地悦城
2015年,无,平层,商品房,179547225,2018-07-08,128万,南北,高层 楼层（共33层）,复地悦城
2016年,无,商品房,180616475,2018-08-08,143万,南,中层 楼层（共34层）,复地悦城
2014年,无,商品房,180625529,2018-08-08,195万,南北,高层 楼层（共22层）,福星惠誉东澜岸
2014年,有,平层,商品房,随时看房,180628626,2018-08-08,119万,东南,高层 楼层（共34层）,福星惠誉东澜岸
2014年,有,平层,商品房,180632364,2018-08-08,110万,南北,低层 楼层（共18层）,福星惠誉东澜岸
2014年,无,平层,个人产权,随时看房,180119433,2018-07-25,125万,南,中层 楼层（共32层）,福星惠誉东澜岸
2014年,有,平层,商品房,随时看房,178476734,2018-06-07,110万,南北,低层 楼层（共34层）,福星惠誉东澜岸
2014年,无,平层,商品房,随时看房,180081763,2018-07-24,129万,东南,低层 楼层（共34层）,福星惠誉东澜岸
2014年,有,平层,商品房,随时看房,180610091,2018-08-07,116万,南北,高层 楼层（共31层）,福星惠誉东澜岸
2009年,无,商品房,180600874,2018-08-07,297万,南北,中层 楼层（共8层）,福星惠誉东澜岸
2013年,有,平层,商品房,随时看房,180636005,2018-08-08,217万,南北,低层 楼层（共30层）,泰然南湖玫瑰湾三期
2013年,无,平层,商品房,随时看房,180590516,2018-08-07,605万,南北,高层 楼层（共10层）,泰然南湖玫瑰湾三期
2013年,有,平层,商品房,电话预约,179636204,2018-07-11,210万,南北,中层 楼层（共33层）,泰然南湖玫瑰湾三期
